Word,POS,Definition,Forms,Usage Notes,
æf,v,"to denounce, to insult; to spit, to spit upon","æfad, āf, āfad",,
æfux,v,"to drool, to salivate; to hunger, to hunger for","æfād, āfux, āfād","- sense ""to hunger for"" takes preposition ō-",
æklôħ (1),adj,"salted, salty; well-seasoned",āklôħ,,
æklū (1),n,"- (mun.) salt
- (a.) saltiness, salinity","(mun., a.)",,
ærχ,v,"to like, to enjoy; (reflexive) to be pleased, satisfied","ærd, N/A, N/A",,
æze-,pp,through,,,
āfu (2),n,"- (mag.) dew
- (mun.) spit, saliva
- (a.) salivation; hunger",(inanimates),,
āfux (2),adj,hungry; salivating,ā'āfux,,
afuχ (3),n,"- (mag.) life cycle, circle of life
- (mun.) wheel
- (a.) cycle, circle",(inanimates),,
ah'ax,v,to avoid; to refrain from; (reflexive) to fast,"ah'axed, āh'ax, āh'axed",,
aħáŋ,v,to return; to try (something) again,"aħáŋad, a'aħáŋ, a'aħáŋad",,
āhk,aux,do not! (prohibitive),defective,- always in the second person,
āk,v,"to reach, to reach for; to stretch","āxad, āhak, āhaxad",,
āklū (1),n,"- (mun.) spice, seasoning
- (a.) taste, flavor","(mun., a.)","- sense ""spice, seasoning"" usually in the plural",
ān,part,optional noun suffix on animate roots to specify feminine,,- rare,
anq̇ulq̇ (2),adj,respectful; humble,anq̇ūlq̇,,
anqχēl (1),adj,"resilient, tough, resistant",ānqχēl (1),,
ārχ,n,"- (i.) flower
- (a.) satisfaction; pleasure","(i., a.)",,
ax,adv,not; negates verbs and regular auxiliaries,N/A,"- Is not used with lur ""to be,"" as both a verb and an auxiliary. Negative copula q̇em is used instead ",
axa (1),n,negativity; negation,(a.),,
axa (2),n,"- (mon.) eyebat; cyclops
- (mag., mun.) eye
- (a.) sight, vision","(mon., mag., mun., a.)",,
āxa (2),n,"- (mon.) beholder
- (i.) arcane eye
- (mag.) anything which bestows truesight
- (a.) truesight, trueseeing","(mon., i., mag., a.)",,
āxaχ (1),n,"- (animates) actor; doer, agent; player
- (mag., mun.) sport, recreation; activity
- (a.) agency; activity",(all),,
axk,v,"to perform, to act; to cast (a spell)","axced, āxk, āxced",,
axk (3),adj,"mechanical; functional, operable",āxk,,
āxk (3),n,"- (mag.) spell
- (mun.) machine, device
- (a.) action; verb",(inanimates),,
aze-,pp,alternative form of æze-,,,
āχ,v,"to reverse, to turn around","āχod, a'āχ, a'āχod",,
āχo (1),n,"- (mag.) spine, vertebra
- (mun.) back, rear, hind; hunch
- (a.) backside",(inanimates),,
câllaq (3),n,"- (i.) fire elemental
- (mag.) wildfire
- (mun.) ash, soot
- (a.) conflagration, burning","(i., mag., mun., a.)",,
cellâlq (3),n,"- (mon.) giant fire elemental, especially if violent
- (i.) flame as personified
- (mag.) firestorm, inferno; (definite) Hell
- (mun.) cinder, ember
- (a.) uncontained or unchecked power; plague","(mon., i., mag., mun., a.)",,
cellelq,v,"to be jolly, silly; to be humorous, to make others laugh","celleqlēd, cēllelq, cēlleqlēd",,
celq,v,to laugh,"ceqlēd, cēlq, cēqlēd",,
cēlq (3),n,"- (mag.) uncontrollable laughter
- (a.) humor; laughter","(mag., a.)",,
ceq,v,"to have, to possess; to be with","ceχad, q̇ħúthq, q̇ħúχthod","- episodic usually used for alienable possesion, and gnomic for inalienable possession",
cerq,v,"to hold, to grasp, to contain","cerχad, N/A, N/A",,
cerχalli (1),n,"- (mag.) potion vial; any container for magical substance
- (mun.) vial, flask, cup, any small container for liquid","(mag., mun.)",,
cī (3),n,"- (i.) herb, especially for culinary use
- (mag., mun.) tea; any herbal beverage","(i, mag., mun.)",,
cillu (1),n,"- (mun.) ceiling, roof; overhang
- (a.) top, highest part","(mun., a.)",,
ciχād,aux,"to have been able to, could (past abilitative)",defective,- often implies a counterfactual,
ciχħō (1),adj,"wise, knowledgeable; clever, crafty",cīχħō,- rarely used with Monstrous or Irrational nouns,
ciχħō (1),n,expert; one who is wise and/or knowledgeable,"(e., r.)",- rarely used with Monstrous or Irrational nouns,
ciχo,aux,"to be able to, can (abilitative)",defective,- implies present tense,
coktiz,v,"to fly, to soar","coktizad, cōktiz, cōktizad","- can mean ""to disregard ___"" with prepostion kxā-",
ē' (2),n,"- (animates) voter; decision-maker; dowser
- (mag.) dowsing rod
- (mun.) voting machine
- (a.) vote; decision; dowsing",(all),,
ē'ēkfūh (3),n,"- (mag.) weapon of mass destruction
- (inanimates) apocalypse, armageddon; mass destruction",(inanimates),,
ē'ū (2),n,sound; audio; phone (linguistics),(a.),,
ef,v,"to shoot, to fire (a weapon)","efud, ēf, ēfud",,
ēfū (1),n,"- (animates) shooter, that which shoots
- (mag., mun.) projectile based weapon
- (a.) firing, shooting; (in the plural) fire, barrage, volley",(all),,
ēglōχ (1),n,"- (animates) archer
- (mag., mun.) turret
- (a.) archery",(all),,
ēglū (1),n,"- (e.) extraplanar exaltant; celestial
- (mag.) rainbow
- (mag., mun.) bow; ranged handheld weapon that fires projectiles
- (a.) arc, arch","(e., mag., mun., a.)",,
ēhā (2),n,"- (animates) regent, king or queen
- (mag., mun.) controller, device which controls something; speaker (device), especially if particularly loud
- (a.) dominance, control",(all),,
ehnâ (1),adj,"rotated, turned around; confused, disoriented",ēhnâ,,
ēhō (2),n,"- (mon.) banshee
- (mag.) voicebox
- (mun.) voice
- (a.) noise, clamor, ruckus; shriek; volume, sonority","(mon., mag., mun., a.)",,
ēħô (4),n,"- (animates) catchall term for any type of dragon
- (mag.) flamebox
- (mun.) fire breath
- (a.) ignition; burst of flame, especially from the throat; intensity of fire",(all),,
ehsen (3),n,"- (r., mon.) werewolf","(r., mon.)",,
ekfūh,v,"to regret, to be regretful; to apologize, to give condolences","ekfād, ēkfūh, ēkfād",,
ēkfūh (3),n,"- (mag., mun.) wasteland
- (a.) loss, tragedy, despair",(inanimates),,
ekx,v,to see,"ekxad, N/A, N/A",,
elce,part,"particle following a plain interrogative to mean ""how much"" or ""how many""",,"- following word must be a noun prefixed with ħá-
- sense ""how much"" takes singular, and sense ""how many"" takes plural",
ēlcel (3),n,"- (animates) crowd, swarm
- (mag.) spellpower
- (mun.) arhcive; library
- (a.) number, quantity, amount; plurality",(all),,
enlu' (2),adj,"cyan, teal, lime, sky blue, light green; clear, transparent",ēnlu',,
erχ (2),n,"- (mag., mun.) air
- (a.) surroundings",(inanimates),,
ezā,v,"to gaze, to stare","ezād, ēzā, ēzād",- takes preposition thū-,
eχ,v,"to multiply, to increase","eχad, ēχ, ēχad",,
ēχ (4),n,"- (animate) couple, pair, duo; twin
- (mag.) twinspell
- (mun.) pair
- (a.) double, duality, dyad; dual",(all),,
ēχsen (3),n,"- (r., mon.) lycanthrope
- (a.) lycanthropy","(r., mon., a.)",,
fæfē (1),n,"- (mon.) fog monster
- (mag.) stormclouds
- (mun.) thick fog
- (a.) bewilderment, incredulity","(mon., mag., mun., a.)",,
fāl,v,"to tie, to bind","fāled, fæfāl, fæfāled",,
falēl,v,to knot; to tangle,"falēled, fālēl, fālēled",,
fáχ,con,"neither, nor",,,
fē (1),n,"- (i.) small air elemental; air sprite
- (mag.) ethereal mist; ethereal fog
- (mun.) mist; light fog
- (a.) haze, daze; translucence","(i., mag., mun., a.)",,
fēl,v,"to suck, to suck dry; to drain, to empty","fēltud, fefēl, fefēltud","- sense ""drain, empty"" takes preposition ho-",
fēl (3),adj,"empty, hollow; vapid",fefēl,,
fēl (3),n,"- (mag.) siphon of energy
- (mun.) drain, siphon
- (a.) drainage",(inanimates),,
fēl (3),n,"- (mag.) silk
- (mun.) cream; yogurt","(mag., mun.)",,
feltū (1),adj,"cheery; lucky, fortunate; domesticated; fecund, lascivious",fēltū,"- this word is often avoided in the modern day because of the many seemingly unrealted definitions, however older speakers still use the term, predominantly in senses ""cheery"" and ""lucky""",
fēltū (1),n,"- (e., r.) a historically common Draconic name
- (r., mon.) succubus; incubus
- (i.) farm animal
- (mag.) uncontrollable laughter
- (mun.) cheese
- (a.) cheeriness, gaiety; luck, good fortune",(all),"- the sense ""Draconic name"" has become increasingly rare in the modern day",
fenlly-,pp,"made of, conisting of",,,
feŋ (3),adj,"childish, infantile",fēŋ,,
feŋkxō (1),n,"- (r., mon., i.) baby, infant (non-dragon)
- (a.) infancy (non-dragon)","(r., mon., i., a.)",,
feŋqχi (2),adj,"insignificant, unimportant, inconsequential, unremarkable; unintended, unforeseen, narrowsighted",feŋqχī,,
feŋqχī (2),n,"- (i.) (plural) offspring, progeny, young (of non-exalted beings)
- (mag.) elementrary particle; (biology) cell
- (mun.) particulate, particle of matter; (plural) dust; cog, gear
- (a.) part, especially of a much larger whole; minutia","(i., mag., mun., a.)",,
feŋqχō (2),n,"- (mag.) lost soul; magical byproduct
- (mun.) byproduct
- (a.) unimportance, insignificance; inconsequential side-effect",(inanimates),,
feru (3),n,"- (mag.) sedative; anesthesia
- (mun.) milk; nectar
- (a.) drowsiness, sleepiness; sedation",(inanimates),,
finluh (2),n,"- (animates) fey creature
- (mag.) fey magic, fey energy; (definite) The Fey Realm
- (mun.) fey item or object
- (a.) fey",(all),,
folm (3),adj,"smooth, slick, slippery; clean; orderly, regular",fōlm,,
fōlnty (3),n,"regularity, order; sequence; cleanliness",(a.),,
foth,v,to hate,"fothād, fofoth, fofothād",,
foxeχ,v,"to cook, to prepare food; to singe, sear, char; to accomplish","foxeχad, fōxeχ, fōxeχad",,
fōxeχaχ (1),n,"- (animates) cook, chef
- (mag.) fire (as used in preparation of food)
- (mun.) kitchen; kitchen appliance
- (a.) cuisine; culinary arts",(all),,
fū (1),adj,"small, tiny",fūfū,,
fu'so (2),n,"- (mon., i.) a viscous ooze or slime
- (mag., mun.) liver","(mon., i., mag., mun.)",,
fū'su (2),n,"- (mag.) alchemical equipment
- (mun.) enzyme; dissolver
- (a.) distillation; dissolution, especially for alchemy",(inanimates),,
fuh,v,"to die, to be dead","fad, fūh, fād",,
fūħ (3),adj,"straight; direct, linear; directive",fufūħ,,
fulthor,adv,"poorly; evilly, wickedly",fūlthor,,
fūrχ (2),n,"- (mag., mun.) measuring instrument
- (a.) direction; linearity; Directive",(inanimates),,
futhor,adv,"well; righteously, upstandingly",fūthor,,
fuχħālt (2),n,width,(a.),,
fūχħālt (2),n,a creature that is particularly wide,(animates),,
fuχħār (3),adj,wide; fat,fūχħār,,
ħâ,part,behold!;  ô!,,"- not used in sentences; interjected to call attention to something or someone
- considered somewhat archaic, but still used in formal settings",
hā (1),n,"- (animates, mag.) soul; a creature's life force, especially after death
- (a.) essence; something's fundamental quality","(e., r., mon., i., mag., a.)","- typically classed as animate when referring to specific souls, and in the Magical when discussing souls generally",
ħâ (2),n,flame; fire breath,"(mag., mun.)",,
ħá-,pp,of (possession),,,
ħâ' (3),n,"- (r., mon., i.) prey
- (i.) animal
- (mag., mun.) fuel
- (a.) vulnerability","(r., mon., i., mag., mun., a.)",,
ha'kx,v,"to ponder, think, consider","ha'qχud, haha'kx, haha'qχud",,
ha'qu (1),n,"- (animates) philosopher
- (mag.) Magic, as personified
- (a.) philosophy","(e., r., mon., i., mag., a.)",,
hærŋ,adv,"admittedly; reluctantly, begrudgingly",hārŋ,,
hærŋ,con,"although, though; albeit",,,
ħak,v,"to extinguish; to put an end to, to finish off; (euphemistic) to kill","ħaxad, ħāk, ħāxad",,
hakxu (1),n,"- (mag.) drive, purpose, passion
- (mun.) target, mark, bullseye; reticle
- (a.) reason, purpose, rationale; goal, target",(inanimates),,
hanah (3),n,"- (mag.) (definite) the ether field, the field of omnipresent ethereal energy
- (mun.) field, pasture
- (a.) area, region; district, administrative division",(inanimates),,
ħâno (4),n,"- (animates) cannibal
- (mon.) ghoul; any flesh-eating monster
- (i.) personification of blight, decay
- (mun.) flesh, especially rotten
- (a.) cannibalism; blight, decay",(all),- often abscribed as an insult,
hanto (3),n,"- (animates) individual
- (a.) name; personality","(e., r., mon., i., a.)",,
hantox (3),n,"- (mag.) true name
- (mun.) signature; inscription
- (a.) nickname; noun",(inanimates),,
ħáŋ,v,"to come, to arrive","ħáŋad, ħâŋ, ħâŋad",,
ħáŋ-,pp,"within, inside of",,,
harāreχ (2),n,"- (mag.) heat wave
- (mun.) heat source; controlled fire
- (a.) heat; efficacy",(inanimates),,
harārō (2),adj,demonic; abyssal,hārārō,,
harārō (2),n,"- (r., mon., i.) demon
- (mag.) (definite) The Abyss
- (a.) Abyssal (language)","(r., mon, i., mag., a.)",,
ħáre,adv,there,N/A,,
hāreχ,v,"to warm, to heat up; to treat gently, to care for","hāreχad, harāreχ, harāreχad",,
hāreχ (2),n,"- (mag., mun.) heater; stove, oven
- (a.) heating; temperature",(inanimates),,
harī (2),n,"- (mag.) alcohol
- (mun.) (usually plural) tinder, dry leaves
- (a.) flammability",(inanimates),,
hārm (3),n,"- (mag.) magical daylight
- (mun.) daylight
- (a.) day, daytime",(inanimates),,
hārō (2),adj,hot; effective,hāhārō,,
ħârq̇e,adv,yonder; far away,N/A,,
ħáth,adv,here,N/A,,
ħatrū (1),n,"- (mag., mun.) feather
- (a.) lightness, delicacy",(inanimates),,
hátrur (3),adj,"written, inscribed; permanent, fixed",hâtrur,,
ħax,v,"to defeat, to outperform; to win, succeed, prosper","ħad, ħāx, ħād",,
hax (2),adj,long; extended,hāx,,
haxær (2),n,length; extension,(a.),,
hāxær (2),n,"(animates) any long, typically serpentine creature
(i.) snake, serpent
(mag., mun.) any long, typically thin and cylindrical object","(e., r., mon., i., mag., mun.)",,
ħāxaχ (1),n,"- (e., r.) a Draconic name
- (animates) predator, especially a vicious one",(animates),,
hē (1),n,"- (animates) astrologer; magic user guided by the stars
- (mag.) constellation; star based magic
- (mag., mun.) astrological instrument
- (a.) astrology; magic guided by the stars",(all),,
ħeħe,v,to chatter,"ħeħēd, ħēħe, ħēħēd",,
hēn (3),n,"- (i.) wind or air as personified
- (mag.) hurricane; extremely powerful winds
- (mun.) whirlwind
- (a.) disorientation, confusion; rotation","(i., mag., mun., a.)",,
hexto (1),n,"- (mag., mun) northern wind
- (a.) north",(inanimates),,
hihin,v,"to blow, to exhale forcefully; to regurgitate, to vomit","hihinad, hīhin, hīhinad",,
hin (3),n,"- (mon.) ghost
- (i.) (plural only) spirits generally
- (mag.) wind
- (mun.) breeze, gust
- (a.) weather; haunting","(mon., i., mag., mun., a.)",,
hisi,v,to whisper,"hisīd, hīsi, hīsīd",,
ho,con,despite the fact that,,,
hō (1),n,"- (mag.) star
- (a.) (definite, plural only) the stars, as personified or referenced abstractly; the night sky","(mag., a.; see notes)","- sense ""star"" predominantly treated as a Magical noun, but may occasionally be used in any of the animate genders, referencing someone who has passed away and whose soul is believed to be among the stars or beyond",
ħô (1),adj,"icy, slippery, frozen",ħôħó,,
ħô (1),n,"- (mon., i.) ice elemental
- (mag.) hail; sleet
- (mun.) ice, ice crystal
- (a.) iciness, slipperiness","(mon., i., mag., mun., a.)",,
ho-,pp,"from, away from",,,
ħôħ (4),n,"- (e.) ice dragon
- (r., mon.) ice giant
- (i.) any creature native to snowy environments
- (mag.) blizzard; avalanche
- (mun.) tundra, snowy expanse
- (a.) bitter and unbearable cold",(all),,
hok (2),adj,"open, expansive; available, unencumbered",hōk,,
hōk (2),n,"- (e.) titan
- (mag.) plane, dimension
- (mun.) expanse, open area
- (a.) place, location, space","(e., mag., mun., a.)",,
honæh (4),n,"- (i.) grass, fern, moss
- (mag.) magical vegetaion
- (mun.) lawn, prairie, pasture
- (a.) (figurative) anchor, tether, reality","(i., mag., mun., a.)",,
ħôŋ (3),n,"- (r.) humanoid, any human-like creature
- (i.) golem, especially of stone
- (mun.) statue","(r., i., mun.)",,
ħóz (3),adj,very cold,ħôħóz,,
ħóz (3),n,"- (mon., i.) snow elemental
- (mag.) snowstorm
- (mun.) snow, frost; snowflake
- (a.) cold","(mon., i., mag., mun., a.)",,
ħû (1),adj,"large, huge; (of a dragon) old, powerful",ħúħû,,
hu-,pp,"originating from, coming from; due to",,,
ħúħû (1),n,"- (animates) one who is abnormally large
- (r.) giant
- (a.) giantkind, giants as a group","(e., r., mon., i., a.)",,
ħûl (3),n,"- (mun.) corner, nook, cranny
- (a.) angle","(mun., a.)",,
ħuqsix,v,"to scare, frighten; to terrorize","ħuqsad, ħūqsix, ħūqsad",,
huz,con,"in order to, so that",,,
huz-,pp,"for, for the purpose of",,,
ħyh (4),n,"- (a.) a Draconic name
- (mag., mun.) gold
- (a.) gold as a material; affluence, wealth","(e., mag., mun., a.)",,
hyn,part,sir/ma'am; particle of deference shown to dragons ,,"- the default particle for polite speech; used direcly before reference to a Dragon by name
- also used as a a greeting when followed by the adressed Dragon's name",
i-,part,prefix to turn nouns into adjectives,ī- (Elative),"- somewhat productive, but can sound rather clunky, especially if another adjective exists that could work just as well",
i'ū (2),adj,"auditory; audible, heard",ī'ū,,
ifalēlâ (1),adj,"knotted, twisted; mangled, deformed",īfalēlâ,,
ifeŋqχī (2),adj,"dusty; abandoned, untouched",īfeŋqχī,,
ifere (1),adj,"drowsy, sleepy; sedative, sleep-inducing; anesthetic",īfere,,
ifū (1),n,"- (animates) spitter, that which spits
- (i.) llama
- (a.) spitting","(e., r., mon., i., a.)",,
iglū (1),adj,"glittering, glowing, dazzling; multicolored; celestial",ēglū,,
ihakxu (1),adj,"driven, passionate; intentional, deliberate",īhakxu,,
iharī (2),adj,"flammable, inflammable; dainty, airy, wispy",īharī,,
īhnâ (1),adj,disorienting (often magically); devastating,ī'īhnâ,,
ihō (2),adj,"noisy, loud, sonorous; shrieking, screaming",īhō,,
iħónlli (1),adj,"numerical, digital; discrete",īħónlli ,,
ik (3),n,"- (mag.) mana; one's personal store of magical energy
- (mun.) source, especially of power
- (a.) willpower, resolve; focus",(inanimates),,
īk (3),n,"- (mag.) magical resource
- (mun.) natural resource
- (a.) resource",(inanimates),,
ikēlħá (1),adj,magically electric; lightning-like; highly energetic,īkēlħa,,
ikfâħ (1),adj,"apocalyptic; nuclear, massively destructive",īkfâħ,,
ikfūh (3),n,"- (animates) widow, widower
- (a.) regret, remorse; apology; condolences","(e., r., mon., i., a.)",,
ilâle (4),adj,inanimate,īlâle,,
ilērħá (1),adj,"formless, shapeless; easily shaped or molded; easily influenced",ilēlērħá,,
ināne (3),adj,animate,īnāne,,
ipán (3),adj,"joyous, joyful; just, fair, reasonable",īpán,,
iqerxeħ (2),adj,expensive; valuable,īqerxeħ,,
iqχúħá (1),adj,"thunderous; incredibly loud, earsplitting",īqχúħá ,,
ithoh (1),adj,"troublesome, tricky, problematic; secure, guarded; blocked, inaccesible",īthoh,,
ithor,adj,"good, great; righteous, upstanding",īthor,,
ithūxe (1),adj,"blue, navy, aquamarine; stormy, rough, turbulent; agitated, anxious",īthūxe,,
itræχnâħ (1),adj,"Draconic, of or pertaining to dragons",ītræχnâħ,,
itræχnâħ (1),n,"- (mag.) draconic magic
- (a.) Draconic (language)","(mag., a.)",,
itrōllq (3),adj,"honest, truthful",ītrōllq,,
ixīthá (1),adj,"electric, electrical",īxīthá,,
iχallħá (1),adj,"sharp, pointy; steep; abrupt; ultimate, maximal",īχallħá,,
iχallħá (1),n,"- (i.) canopy of a forest
- (mun.) peak, summit
- (a.) maximum","(i., mun., a.)",,
iχūrallaħ (1),adj,"focused, converged; congregated, gathered; tightly bound",īχūrallaħ,,
kæ,con,"or; either, or",,"- often reduced to ""ky"" in casual speech",
kægaχ (2),adj,"fiery, blazing, burning, inflamed; empowered",kāgaχ,,
kæmō (3),n,"- (animates) noble
- (mag.) bag of holding; magical storage
- (mun.) physical storage
- (a.) genre, category, kind, class; storage",(all),,
kæmōl (3),adj,"categorized, divided, distinct; distinguished; noble",kāmōl,,
kālēl,v,"to refuse; to protest, object; to be indignant; to counterspell","kālēled, kaχālēl, kaχālēled","- sense ""counterspell"" takes preposition sæχ-",
kālôŋ (3),n,"- (r.) human, person
- (i.) human child
- (a.) humanity, humans as a group","(r., i., a.)",,
kāmō (3),n,"- (mag.) magical impermeable membrane
- (mun.) fence, wall
- (a.) division, segregation; role; border",(inanimates),,
kax (2),n,"- (mag., mun.) brimstone, sulfur; char
- (a.) char, burning",(inanimates),,
kaχālel (3),n,"- (mag.) counterspell
- (a.) refusal, objection; indignation","(mag., a.)",,
kāχūls,v,to bleed,"kāχūlzad, kakāχūls, kakāχūlzad","- can mean ""to sacrifice much for ___"" with preposition qē-",
kē,v,to eat,"kēd, kæxe, kæxēd",,
kē,v,"to prepare, to ready; to bolster","kērd, kē', kē'erd",,
kē'e,v,"to prepare oneself, to get ready; to steel onself","kē'erd, kē'ē, kē'ērd",,
kēhantok,v,"to be called, named; to be select, chosen","kēhantōd, kyxēhantok, kyxēhantōd",,
kēlliqχo,v,"to understand, to comprehend","kēlliqχād, kēllīqχo, kēllīqχād",,
kēqχ,v,"to spin, twirl","kēqχed, kēqχeqχ, kēqχēd",,
kētru,v,to hesitate; to show restraint,"kētrurd, kētrū, kētrūrd",,
kēx (1),n,"- (e.) phoenix
- (r.) any winged humanoid
- (mon.) harpy
- (i.) any winged animal other than a bird
- (mag., mun.) wing
- (a.) winged flight",(all),"- in the Irrational, the term typically refers to creatures that have been magically bestowed wings that otherwise wouldn't have them",
keχħô,v,"to be humble; to be selfless, generous","keχħóqħád, kēχħô, kēχħóqħád",,
kith (3),n,"- (i.) wisp
- (mag.) burst of electric energy
- (mun.) spark; crackle of electricity
- (a.) static electricity; an idea that comes to one suddenly, a eureka moment","(i., mag., mun. a.)",,
kixith (3),n,"- (mun.) electricity, as physically manifested
- (a.) electricity","(mun., a.)",,
koko,v,"to mime, mimick; to imitate","kokōd, kaχo, kaχōd",- takes preposition sī-,
kōrū (1),n,"- (mon.) amalgam, amalgamation
- (i.) robot; golem, especially of metal
- (mag., mun.) steel; strong metallic alloy
- (a.) fusion, blending; the creation of alloys; the process of amalgamation","(mon., i., mag., mun., a.)",,
kōru (2),n,"- (mag., mun.) iron; (broadly) any metal
- (a.) metal as a material",(inanimates),,
kōthuŋ (3),n,"- (animates) builder, constructor; worker
- (mag., mun.) building, construction (physical); physical structure
- (a.) building, construction (process); theoretical structure",(all),,
kotuŋ,v,"to build, to construct","kotuŋad, kokotuŋ, kokotuŋad",,
kura,v,"to contact, to press against; to kiss","kurād, kukura, kukurād",,
kura (1),n,"- (mag.) a jolt, an electric shock; (definite) true love’s kiss
- (mun.) lip; rim, brim
- (a.) a kiss; contact, kissing",(inanimates),,
kuχū (1),n,"- (mon.) (definite) personification of the night and the monsters therein, especially in a dark forest
- (mag.) magical darkness
- (a.) night, nighttime","(mon., mag., a.)",,
kxá (4),adj,"red, orange; burnt, charred, ashen",kxâ,,
kxā-,pp,over (implies movement),,,
kxæ-,pp,"during, while",,,
kxælli (3),n,"- (r.) any canine humanoid 
- (mon.) any monstrous dog-like creature 
- (i.) dog; wolf 
- (a.) dogkind or wolfkind, dogs or wolves as a group","(r., mon., i.)",- does not typically refer to werewolves,
kxæm,adv,overhead,N/A,,
kxēlkxēl (3),n,"- (e.) lightning dragon, storm dragon
- (mon., i.) lightning elemental
- (mag.) lightning","(e., mon., i., mag.)",,
kxorχ,v,to collapse; to crash; to crunch,"kxorχad, kxokxorχ, kxokxorχad",,
lâ (4),adj,"still, unmoving; dead, non-living",lārâ,,
læll (3),n,"- (animates) opponent, opposition
- (mag.) nullification; magical or elemental opposite
- (mun.) counterweight, counterbalance
- (a.) opposite, opposition, reverse",(all),,
lætrāχ (2),adj,"black, brown, dull yellow; murky, brackish; acidic; gross, disgusting, putrid",lartrāχ,,
lâl (4),n,"- (mag., mun.) an inanimate object
- (a.) inanimacy",(inanimates),,
laq̇th (1),n,song,(inanimates),"- this word is Abstract when discussing musical theory or songs in the abstract, Mundane when referring to a song being sung or performed, and Magical when it either has magical effects or when it arouses much emotion",
lartrāχ (2),n,"- (mag.) potent acid, especially as produced biologically; bile
- (mun.) acid
- (a.) acidity",(inanimates),,
lathq̇,v,to sing; to charm (someone),"laq̇thod, lārthq̇, lārq̇thod","- sense ""to charm (someone)"" takes preposition æze-",
lele,v,"to dance playfully; to goof off, to mess around","lelēd, lēle, lēlēd",,
lepán (3),n,"- (aniamtes) despot, tyrant; villain
- (mag.) poison, venom, toxin
- (a.) misery; injustice, oppresion; villainy, tyranny","(e., r., mon., i., mag., a.)",,
li,con,"near to when, in the same time as",,,
lil,con,"near to where, in the same place as",,,
linæ,aux,"to apprehensively, to timidly, to fear to (timitive mood)","linād, luzinæ, luzinād",,
llā (2),n,mother,(animates),,
llæfāre (3),n,"- (inanimates) connection, bond
- (a.) idea",(inanimates),,
llæfēl,v,to connect; to introduce something or someone,"llæfēlhed, llæfāl, llæfālhed","- sense ""to introduce"" optionally takes preposition thū- to state recepient of introduction",
llaħ,v,"to begin, to start; to take on","llád, llēħ, llâd",,
llak,part,"particle following a plain interrogative to mean ""why"" or ""what for""",,- always takes oblique interrogative,
llān (4),n,aunt; common and polite term of addres to a female Dragon,(animates),,
llâŋ,v,to agree; to consent,"llâŋad, lláħâŋ, lláħâŋad","- ""to agree to"" can be formed with preposition lleŋ-
- ""to agree with"" can be formed with preposition qa-",
llâŋ (3),n,"- (mag., mun.) contract, deed
- (a.) agreement; consent",(inanimates),,
llaz (1),adj,dry; arid,llāz,,
lle'as,v,to compare; to equate,"lle'ard, llā'as, llā'ard",- optionally takes preposition thū- to state second object of comparison,
