Word,POS,Definition,Forms,Usage Notes,
llefāχ (1),n,"- (e., r.) a Draconic name
- (animate) an individual of faith; a believer
- (mun.) support structure
- (a.) religious faith","(e., r., mon., i., mun., a.)",,
llēħ,aux,"to begin to, to start (inchoative aspect)","llad, N/A, N/A",- past form often implies a counterfactual,
llēħ (4),n,"- (mag., mun.) vehicle
- (a.) transportation",(inanimates),,
llēl,v,to love romantically and passionately ,"llēlid, llēli, llēlīd",,
llēlāχ (1),n,"- (animates) spouse, romantic partner for life
- (mag.) love magic
- (mun.) wedding, marriage ceremony
- (a.) marriage",(all),,
llēlēr (1),n,"- (mon.) giant water elemental, especially if violent
- (mag.) (literal) flood, torrent, inundation
- (a.) (figurative) flood, torrent, inundation","(mon., mag., a.)",,
llēlern (3),n,"- (mag.) (definite) the elemental plane of water
- (mun.) ocean
- (a.) an expanse; a vast region",(inanimates),"- sense ""ocean"" now considered archaic or poetic",
lleli (1),adj,"romantic, especially with much passion",llēlī,,
llēlī (1),n,"- (a.) Love God
- (mag.) romantic, passionate love; uncontrollable love
- (a.) romance, espeically passionate romance","(e., mag., a.)",,
lleŋ-,pp,with (instrumental),,,
llēr (1),n,"- (mon., i.) water elemental
- (mag.) elixir; any magical liquid
- (mun.) water; body of water","(mon., i., mag., mun.)",,
ller',v,to cohabitate with,"llerēd, llēre', llērēd",- takes preposition qa-,
llērārk (3),n,"presence, accompaniment; good company","(mun., a.)",,
llerēχ (1),n,"- (animates) roommate, flatemate, housemate
- (mag., mun.) keepsake; item of much sentimental value
- (a.) cohabitation",(all),,
llērkx,v,to be on good terms with; to enjoy the company of,"llērkxad, llērārkx, llērārkxad",,
llern (3),n,"- (mon.) sea monster
- (i.) sea creature; (in the plural) marine life
- (mun.) sea, ocean; large body of liquid
- (a.) (definite, singular only) the sea, as personified or referenced abstractly","(mon., i., mun., a.)",,
llēroχ,v,"(reflexive) to cooperate, to work together","llērōd, llērūroχ, llērūrōd",- always plural,
llērūroχ (3),n,"cooperation, collaboration",(a.),,
llery' (2),adj,personal; intimate,llēr',,
llery' (2),n,intimacy,(a.),,
lletroħáq̇ħ,v,"to converse, to discuss; to chat, to chatter","lletróq̇ħád, llētroħáq̇ħ, llētróq̇ħád",,
llētroħáqħ (4),n,"conversation, discussion",(a.),,
lletroħôqħ (1),n,"- (animates) chatterbox, a talkative individual
- (mag.) sprite
- (mun.) noisemaker
- (a.) chatter, especially when excessive",(all),,
llexe,v,to share,"llexērd, N/A, N/A",,
llēχ,v,to dine; to eat with others,"llēχed, llēleχ, llēleχed",,
llēχ (3),n,dinner; meal,"(mun., a.)",,
lleχa (2),n,"- (mun.) mesa; plateau
- (a.) flatness","(mun., a.)",,
lleχħô,v,to forge,"lleχħóqħád, llôχħô, llôχħóqħád",,
lleχħôχ (3),n,"- (animates) smith, forger; metallurgist
- (mag.) smithing magic
- (mun.) hammer; smithing tool
- (a.) the act of smithing or metallurgy",(all),,
lli (1),n,sister,(animates),,
llifāχ (1),n,"- (mag.) invocation or ritual for a deity
- (a.) blind faith","(mag., a.)",,
llifūh,v,"to trust, to put faith in","llifād, llīfūh, llīfād",- takes preposition qχok-,
llifuχō (1),n,"- (e., r.) a common Draconic name
- (animate) a trustworthy individual
- (mag., mun.) support, bolster, base
- (a.) faith, trust",(all),,
llihqō (3),n,bear,"(mon., i.)",,
llillīxy,det,"too much, too many",,- always takes plural,
llīlq,v,to drink,"llīlqud, llīlīlq, llīlīlqud",,
llīlq (3),n,"- (mun.) drink, beverage
- (a.) drinking, consumption of liquid","(mun., a.)",,
llilχħá,v,"to have fun, especially with others","llilχħád, llīlχħá, llīlχħád",,
llīlχħá (4),n,"- (r., mon., i.) fey creature, especially tricky and whimsical
- (mag.) fey sprite or wisp
- (mun.) trick
- (a.) whimsy; fey energy","(r., mon., i., mag., mun., a.)",,
llina,v,"to be or become tired, exhausted; to exhaust oneself; to toil; to overexert oneself","llinād, llinīna, llinīnād",- optionally reflexive,
llinīna (2),n,"- (animates) any slow and hard-working creature, especially if unintelligent
- (mag.) a spent magical source; a non-magical item that was once magical
- (a.) exhaustion; exertion, overexertion; hard labor, especially for little gain","(e., r., mon.,  i., mag., a.)",,
lliqa (3),adj,"flying, able to fly",llīqa,,
lliqa (3),n,"- (e., r.) a common Draconic name
- (animates) flyer, that which flies 
- (i.) bird
- (mag., mun.) projectile; arrow
- (a.) flight, the ability to fly ",(all),,
llir',v,"to detach (from), separate (from); to disagree; to divorce","llir'ad, llīr', llīr'ad","- sense ""detach from, separate from"" takes prepostion ho-
- ""to disagree to"" can be formed with preposition lleŋ-
- ""to disagree with; to divorce ___"" can be formed with preposition qa-""",
lliru (2),adj,"unrelated, separate; divorced; untrustworthy",llīru,,
llīru (2),n,"- (mag. mun.) violated contract
- (a.) detachment, separation; disagreement; broken promise; contractual violation; divorce",(inanimates),,
llīxem,det,all; every,,"- when the noun it describes is in the singular, it means ""every""
- when the noun it describes is in the plural, it means ""all""",
lliχu,v,to love platonically or familially,"lliχūd, llīχu, llīχūd",,
llīχu (1),n,platonic or familial love; love in general,"(mag., a.)",,
llo,aux,"to be going to, will (future tense)",defective,,
llōd,aux,"to have been going to, would (future in the past)",defective,- often implies a counterfactual,
lloħáŋ,v,"to combine, merge, intertwine","lloħáŋad, lloħâŋ, lloħâŋad",,
lloq,con,although,,,
lloq̇-,pp,without,,"- sometimes realized as lloq̇y-, especially if the word begins with an obstruent",
lloqsix,v,to fight together,"lloqsad, llōqsix, llōqsad",- optionally reflexive,
llôχħô (1),n,"- (mag., mun.) smithing or metallurgy equipment
- (mun.) forge
- (a.) smithing; metallurgy",(inanimates),,
llyħáχħy (1),n,"- (animates) a true friend, companion
- (mag.) health potion
- (mun.) tap, faucet
- (a.) friendship, companionship",(all),,
llylurħ,v,"to plot, scheme, plan","llylurħád, llilurħ, llilurħád",,
llylurħ (4),n,"plot, scheme, heist",(inanimates),,
llyq,v,to flock; to be together,"llyχad, lloq, lloχad",,
llyχaχ (1),n,"- (animates) friend, comrade
- (mag.) magnet
- (mun.) flock
- (a.) cluster, congregation; magnetism",(all),,
lorxtūh (2),adj,"bountiful, plentiful; abundant",lōrxtūh,, 
lōx (2),n,"- (i.) unicorn
- (mag., mun.) horn; alarm
- (a.) siren, alarm call","(i., mag., mun., a.)",,
loxta,det,"most, the majority of",,- always takes plural,
lulħá,v,"to excavate, to exhume","lurħád, lūlħá, lūrħád",,
lur,v,to be (copula),"rōd, lūryχ, lurōd","- the past gnomic form (lūrōd) usually carries a counterfactual connotation 
- in casual speech, the forms are typically realized as lyr, rod, lurχ, and lyrōd",
lur (3),adj,"continuous, ongoing; flowing",lūrχ,,
lurox,v,"to keep, retain; to maintain; to hoard","luroxed, lūrox, lūroxed",,
lurx,v,"to use; to handle, to operate","lurxed, lulurx, lulurxed",,
lūryχ,aux,to be in the middle of doing something (continuous aspect),"lurōd, N/A, N/A","- the same form is used for the episodic and gnomic 
- in casual speech, the forms are typically realized as lurχ and lyrod",
lūryχ (3),n,"- (mag., mun.) flow; stream
- (a.) continuity",(inanimates),,
luthor (3),n,"- (animates) evil individual
- (mag.) evil magic
- (mun.) evil group/organization
- (a.) evil, wickedness",(all),,
lutræ (2),adj,"chilly, cold",lūtræ,,
ly-,pp,"at, near, by",,,
lyħá,v,"to search, to look for; to parse, to examine; to probe","lyħád, luħá, luħád","- sense ""to probe"" takes preposition qχok-",
lypán (3),adj,"despotic, unjust, villainous, tyrannical; miserable; poisonous, toxic, deadly",ilpán,,
lyrâ (4),adj,unintelligent; clumsy; foolish,lylyrâ,- considered offensive when ascribed to a dragon,
lythor,adj,"bad, poor; evil, wicked",ilthor,,
mâ (4),n,"- (e.) god, deity
- (animates) divine being; divine-touched
- (mag.) divine magic, especially as wielded by gods
- (a.) divinity; (definite, plural) The Pantheon; the gods as a whole","(e., r., mon., i., mag., a.)",,
māho (1),n,"- (r.) any feline humanoid 
- (mon.) any monstrous cat-like creature 
- (i.) cat
- (a.) felinekind, cats as a group","(r., mon., i., a.)",,
mân (4),n,a common Draconic name,"(e., r.)",,
meχ (3),n,"- (mag., mun.) tin
- (mun.) coin
- (a.) tin as a material; coinage",(inanimates),,
mō,aux,to have done (perfect aspect); to finish doing (terminative aspect),"mōrd, mōmo, mōmord",- only the terminative aspect can be used in the gnomic,
mū (1),adj,"wet, moist; humid",mūmū,,
næn,v,"to breathe in and out, to respirate","nænad, nān, nānad",,
næn (3),adj,living; breathing,nān,,
næn (3),n,respiration,(a.),,
naltæ (2),n,"- (mag., mun.) recipe, instructions
- (a.) way, method, means; strategy; instruction",(inanimates),"- sense ""recipe, instructions"" only in the magical for alchemical or ritualistic instructions",
nān (3),n,"- (animates) an animate 
- (a.) animacy","(e., r., mag., i., a.)",,
nyl,part,"particle following a plain interrogative to mean ""how,"" ""in what way,"" or ""by what means""",,- always takes oblique interrogative,
nyl,part,suffix on adjective roots to turn them into adverbs,,"- somewhat productive, but can sound rather clunky, especially if another adjective exists that could work just as well
- elative can be formed by suffixing the elative form of the adjective, though this is rarely used",
o,aux,"to intentionally, to purposefully (intentional aspect)","od, ō, ōd",,
ō-,pp,"above, atop",,,
ōcelq,v,"to disregard, to ignore","ōceqlēd, ōcellelq, ōcelleqlēd",,
ōciqāχu (1),adj,"genius, remarkably intelligent",ō'ōciqāχu,,
ōciqāχu (1),n,"- (e.) genius
- (mag., mun.) brain
- (a.) intelligence, knowledge","(e., mag., mun., a.)",,
ōh'ekx,v,"to investigate, to inspect","ōh'ekxad, N/A, N/A",,
ōh'ēkx (3),n,"- (animates) investigator, inspector
- (mag.) divination magic
- (mun.) microscope
- (a.) investigation",(all),,
óħá,part,hello (informal),,,
ōħá,v,"to sleep, to be sleepy","ōħád, ō'ōħá, ō'ōħád",,
ôħá (1),adj,"round; circular, spherical",ó'ôħá,,
ōhaq,v,"to reply, respond","ōhked, ōhāq, ōhkēd",,
ōhaq (3),n,"- (animates) nurse; responder
- (mag.) resuscitation magic
- (a.) nursing; resuscitation","(e., r., mon., i., a.)",,
ōhq̇,v,to overpower,"ōhq̇ad, ōhq̇a', ōhq̇a'ad",,
ōhq̇aχu (1),n,"- (e., r.) a Draconic name
- (mag., a.) resurrection","(e., r., mag., a.)",,
ōkx,v,to convince; to connive,"ōkxed, ōkxekx, ōkxekxed","- sense ""to connive"" takes preposition q̇u-",
oltaħ,v,"to take, to snatch","oltaħád, o'ōltaħ, o'ōltaħád",,
ōn,part,optional noun suffix on animate roots to specify non-binary/gender neutral,,,
oq,v,to fly true,"ogyd, ōq, ōgyd","- colloquially used to mean ""to do well, to be alright""",
ōq (3),n,true flight; well-being,(a.),,
ōqħáŋ,v,"to send, to send off; to expel; (reflexive) to emigrate","ōqħáŋad, ōqħâŋ, ōqħâŋad",,
ōqħáŋ (3),n,expulsion,(a.),,
ōraħ,v,"to possess, to own","ōraħád, N/A, N/A",,
ōraħ,v,"to collect, to gather; to claim as one's own","ōraħád, ōχōraħ, ōχōraħád",,
ōraħ (4),n,possession,(a.),,
ōrn (1),n,"- (mag., mun.) crate, trunk, box; chest, especially with treasure
- (a.) containment",(inanimates),,
ōrnyll (1),n,"- (mag.) a small extradimensional rift
- (mun.) pocket; purse, small bag",(inanimates),,
ōrnyllad (1),adj,"hidden, concealed; unforeseen",o'ōrnyllad,,
oryħ,aux,(passive voice),"oryħád, ōryħ, ōryħád","- agent of the passive is marked with hu- ""from""",
ōtroqħá,v,"to yell, shout; to suppress","ōtroqħád, ōtrōqħá, ōtrōqħád","- sense ""to suppress"" takes preposition sil-",
otrúħ (1),adj,"light, delicate; careless ",ōtrúħ,,
ox,v,"to chew, to chew on, to gnaw; to scrape, rake, drag","oxad, ōx, ōxad",,
ox (3),adj,"menial, boring; grating, frustrating, bothersome",ōx,,
ōx (3),n,"- (mag.) any sharp, magical object
- (mun.) sharp tooth, cuspid; rake, broom, (by extension) any tool that sweeps or rakes
- (a.) chore",(inanimates),,
ōχ (3),n,"- (mag.) (definite) afterlife
- (mun.) clock, sundial, timekeeping device
- (a.) time; era, eon",(inanimates),,
ōχ'oq,v,"to fly over, to overpass","ōχ'oqad, ōχ'ōq, ōχ'ōqad",,
ōχfāled (3),n,"- (animates) prisoner
- (mag.) force cage
- (mag., mun.) cage; prison
- (a.) imprisonment",(all),,
ōχfālel,v,to imprison,"ōχfālēd, ō'ōχfālel, ō'ōχfālēd",,
óχħô,v,"to fight, to battle; to physically struggle with","óχħâd, χħóq­ħô, χħóqħâd",,
ōχħó,v,to lash; to strike with the tail,"ōχħóqħád, ōχħô, ōχħôqħád",,
ōχōraħ (4),n,"- (animates) crowd, group
- (mag., mun.) collection
- (a.) collecting, collection",(all),,
ōχu',v,"to be overwhelmed, to take on too much","ōχu'led, ōχū', ōχū'led",,
pán (3),n,"- (animates) ruler; judge
- (mag.) karma
- (mun.) court
- (a.) joy; justice",(all),,
qa,con,while,,,
qâ (4),n,male dragon,"(e., r.)",,
qa-,pp,"with (comitative), alongside",,,
qā'eth,v,to flee; to retreat; to recoil with cowardice,"qā'erd, kaχā'eth, kaχā'erd",,
qæx,adv,"partially, somewhat, to some extent",qāx,,
qæx (2),adj,"relative, depending, variable",qāx,,
qāgēk,v,"to run out, to run dry; to be or become depleted","qāgēd, kaχāgēk, kaχāgēd",,
qāloq,v,"to brag, boast; to feign strength","qālqād, kaχāloq, kaχālqād",- all senses take preposition qē-,
qar (1),n,"- (r., mon., i.) the center of a hive mind
- (mag., mun.) heart
- (a.) (figurative) heart; core, center","(r., mon., i., mag., mun., a.)","- in the Mundane, sense ""heart"" is strictly anatomical, whereas in the Magical, it typically refers more to sensation or emotion",
qarqar,v,"to pulse, to thrum; to beat rhythmically","qarqarad, qārqar, qārqarad",,
qathū (1),adj,deep; native to the depths of the ocean,qaχathū,,
qathur (2),n,"(literal) depth; (definite plural) The Deep, the depths of the seas as personified or referenced abstractly",(a.),,
qāx (2),n,"- (animates) relative
- (mag.) magical tether
- (mun.) tether, cord, tie
- (a.) family; correlative",(all),,
qaχ (2),n,"- (mag.) fire, blaze
- (mun.) spark; small fire; candle, torch
- (a.) life",(inanimates),,
q̇e,det,"none, no",,- the only determiner that does not inflect,
qē-,pp,"before (in space), in front of",,,
qēdzeg (3),n,"paradox, contradiction",(a.),,
q̇ehā (2),n,"- (mag., mun.) ingredient
- (mun.) chunk, piece
- (a.) clause, phrase; section, portion",(inanimates),,
q̇ehax (2),n,"- (r.) dwarf
- (mag., mun.) beard; facial hair
- (a.) dwarvenkind","(r., mag., mun., a.)",,
qellīqχ (3),adj,"familiar; amicable, sociable; fun",qēllīqχ,,
q̇em,v,to not be (negative copula),"lyged, q̇ōm, lūrxed","- the past gnomic form (lūrōd) usually carries a counterfactual connotation: that the described statement is no longer true. 
- in casual speech, the forms are typically realized as q̇ym, xed, q̇om, and lūrxyd",
q̇eqūru,adv,immediately; right now,N/A,,
qēr,con,before (in time); until,,,
qēr,v,"to precede, to come before","qērad, qēra', qēra'ad",,
qēr'a (2),n,"- (mag.) portal (to foreign plane)
- (mun.) entrance
- (a.) beginning; preface, introduction; greeting",(inanimates),,
qēr'an,adv,"happily, with pleasure; politely",N/A,,
qēr'an,part,hello (formal),,,
qērkx,v,"to predict, foretell; to prophesize","qērkxed, qēqērkx, qēqērkxed",,
qērliqχ,v,"to know of, to be familiar with; to know (individuals)","qērliqχād, qērlīqχ, qērlīqχād",,
q̇erō (1),n,"- (mag., mun) southern wind
- (a.) south",(inanimates),,
q̇ert,con,unless,,,
qēru,v,"to jump, hop; to fidget, twitch","qēruhad, qērā, qērāhad",,
qēru-,pp,before (in time),,,
qerun,part,goodbye (formal),,,
qērun,adv,"finally, in conclusion; reasonably, understandably",N/A,,
qērur (2),n,"- (mag.) portal (to home plane)
- (mun.) exit
- (a.) end, ending, terminal, finish; farewell; epilogue",(inanimates),,
qērx (2),n,"- (animates) merchant, shopkeep
- (mag., mun.) goods
- (a.) trade; economy",(all),,
qērx (3),n,"- (mag.) prophesization magic
- (mag., mun.) crystal ball
- (a.) prediction",(inanimates),,
qērxaχ (1),n,"- (animates) prophet; oracle
- (mag., mun.) temple, shrine
- (a.) prophesy",(all),,
qērxe,v,"to buy, purchase; to inherit","qērxērd, qēqērxe, qēqērxērd",,
qerxex (2),n,"- (animates) owner; lord or lady
- (mag.) material component for spells
- (mun.) money, currency
- (a.) purchase",(all),,
q̇etil (1),adj,"easy, simple, trivial",q̇etirl,,
q̇etirx (2),n,"- (animates) novice, amateur
- (a.) easiness, simplicity, triviality","(e., r., mon., i., a.)",,
qħáme,v,to hear; to listen (to),"qħámād, N/A, N/A","- sense ""to listen to"" marked with preposition ō-",
q̇ħó,part,exclamation of surprise; oh!,,,
q̇ħôlli (1),n,"- (mag., mun.) reservoir
- (mun.) pond, lake","(mag., mun.)",,
qħón (3),n,tail,"(mag., mun.)",,
qħôn (3),n,"- (mon., i.) creature with many appendages
- (mun.) tentacle; appendage","(mon., i., mun.)",,
q̇ħónlli (1),n,"- (mun.) finger, digit, claw
- (a.) number, numeral; count","(mun., a.)",,
q̇ħónllirk,v,"to count, enumerate; to count up, tabulate","q̇ħónllirkad, q̇ħônllirk, q̇ħônllirkad","- sense ""count up, tabulate"" takes preposition ō-",
qħû,v,to wield or use a blade; to brandish,"qħúħád, quχħû, quχħúħád","- sense ""to take off"" is optionally reflexive",
q̇o,n,surprise,(a.),,
q̇o'ōk (3),n,"- (mag.) magical exhaustion
- (mun.) load, mass, ton
- (a.) encumbrance; weight, mass",(inanimates),,
qōħáŋ,v,"to take off, to launch","qōħáŋad, qōħâŋ, qōħâŋad",,
qôk (3),n,"- (mag.) magical stun
- (mun.) cave, tunnel
- (a.) constriction, binding, bondage; tightness",(inanimates),,
q̇ok (3),adj,"closed, tight, constrained, constricted; unavailble, encumbered",q̇ōk,,
qōltaħ,v,"to take back, to reclaim; (reflexive) to recuperate, recover","qōltaħád, qōqōltaħ, qōqōltaħád",,
q̇ōm,aux,to not be the middle of doing somethings (negative of continuous aspect),"lūrxed, N/A, N/A","- in casual speech, the forms are typically realized as q̇om and lūrxyd",
qoth (3),adj,"purple, pink",qōth,,
qū,v,to grow; to age; to become strong,"qād, quχu, quχād",,
q̇ū (1),n,"- (mag.) pocket dimension; small extradimensional space
- (mun.) lair; residence, place of lodging; habitat
- (a.) residency, habitation","(mag., mund., a.)",,
qû (4),n,"- (e., r.) a Draconic name
- (mon., i.) living blade
- (mag., mun.) blade; sword, sharp instrument of war
- (a.) swordsmanship",(all),,
q̇ū-,pp,"beneath, under",,,
q̇u'o (4),n,"- (mon., i.) carnivorous plant
- (a.) digestion; pondering, deep thought","(i., a.)",,
q̇u'u,v,"to cry, to weep","q̇u'ūlad, q̇ū'u, q̇ū'ūlad",,
qūħ (3),n,"- (mon.) mutant rat
- (i.) mouse, rat
- (mag.) any negative or unintended byproduct from magical effects, especially when man-made
- (mun.) waste, trash, garbage; excrement
- (a.) pollution","(mon., i., mag., mun., a.)",,
qūllēl (3),n,"- (animates) captain, head navigator
- (mon., i.) alpha, dominant of a group
- (mag.) compass
- (mun.) star chart for navigational purposes
- (a.) navigation",(all),,
q̇ulq̇,v,"to respect, be respectful, show deference (to)","q̇ulq̇ad, q̇ūlq̇, q̇ūlq̇ad","- sense ""to show deference to"" takes preposition qē-",
qūls,v,"to cut, to slice","qūlsad, quχūls, quχūlsad",,
q̇uq̇,v,to digest; to dissolve,"q̇u'ad, q̇ūq̇, q̇ū'ad",,
qūr,v,"to cease, to end, to stop (transitive)","qūrod, qūru, qūrōd",,
qūralli (3),n,"- (mag.) concentration of energy; magical nexus
- (mun.) hill, mound
- (a.) convergence, concentration; nexus",(inanimates),,
qūrax (1),n,"- (i.) a gigantic plant which stretches into the sky farther than can be seen
- (mag.) volcano
- (mun.) mountain
- (a.) altitude; elevation","(i., mag., mun., a.)",- very rarely used in the Irrational,
qūron,adv,"eventually, at some point",quχūron,,
quru',v,"to wait, await; to hesitate; to stop (intransitive)","quru'ad, qūru', qūru'ad",,
qūχ (1),n,"- (e.) sibling
- (r.) hatchling, baby dragon","(e., r.)",- all senses exclusively refer to dragons,
quχūχ (1),n,"a dragon who is exceptionally powerful, intelligent, or talented for their age; a gifted child; a savant",(e.),,
q̇yhax (2),adj,"short, stocky; partial",q̇ehax,,
qyk,v,"to dive, to plunge","qyxad, kaxk, kaχad",,
qylur,adv,"continuously; relentlessly, without interruption",qylūrχ,,
qyrān (4),adj,"female, feminine; yang",qirān,,
qyrōn (4),adj,non-binary; neutral,qirōn,,
qyrūn (4),adj,"male, masculine; yin",qirūn,,
q̇yth,part,no,,"- somewhat rare; it is more common to simply repeat back the verb in the negative, e.g. Q: Do you eat meat? A: I do not eat",
qyzelleŋ,v,to reciprocate; to show kindness in return,"qyzelleŋad, qezelleŋ, qezelleŋad",,
qyzelleŋ (3),adj,reciprocal; equal,qēlleŋ,,
qyzelleŋ (3),n,(all),(all),,
qyχēru,adv,"early, earlier",qeχēru,,
qχegēl (1),adj,"scaly; rough, jagged; irregular but orderly",qχēgēl,,
qχeħâħ (4),n,"- (mun.) dictionary
- (a.) translation; deciphering, decryption; interpretation","(mun., a.)",,
qχēl (1),n,"- (mag.) dragon scale
- (mag., mun.) scale
- (a.) resilience; toughness, resistance, material strength",(inanimates),,
qχô,v,to strike; to beat; to whip,"qχâd, qχóqχô, qχóqχâd",,
qχok-,pp,"in, among",,"- sometimes realized as qχoky-, especially if the word begins with an obstruent",
qχúqχú (1),n,"- (mag.) magical thunder
- (mun.) thunder
- (a.) acoustic volume, loudness",(inanimates),,
qχyħâħ,v,"to translate; to decipher, decode; to interpret","qχyħâd, qχeχħâħ, qχeχħâd",,
rak,aux,do! (imperative),defective,- always in the second person,
rāreχ (2),adj,"warm; gentle, tender",hārāreχ,,
rāreχ (2),n,"- (mag.) body heat
- (a.) warmth; gentleness, finesse","(mag., a.)",,
rarthq̇ (4),adj,"charming, charismatic; popular; entrancing, captivating",rārthq̇,,
rārthq̇ (4),n,"- (animates) a charmer; a charismatic individual
- (mag.) entrancement magic, charming magic
- (mun.) a status symbol
- (a.) trance",(inanimates),,
rī,adv,"maybe, perhaps",N/A,,
riga,adv,"probably; possbily, plausible",rīga,,
rutrill (2),n,"disease, malady, affliction",(inanimates),,
særâ (1),n,"- (e.) aquatic dragon
- (r.) merfolk
- (mon.) sea monster, particularly that swims fast
- (i.) fish, particularly that swims fast
- (mun.) rudder
- (a.) swimming, as a sport or activity","(e., r., mon.,  i., mun., a.)",,
særxēl (1),n,"- (i.) animated armor
- (mag., mun.) armor
- (a.) protection, defense, especially in combat","(i., mag., mun., a.)",,
sæx (2),n,"- (mag.) egg
- (mun.) eggshell","(mag., mun.)",,
sæxēl (1),n,"- (i.) tree bark
- (mag.) magical shield; dragonscale
- (mun.) shell (botanical); carapace; protective outer layer
- (a.) sphere, spheroid","(i., mag., mun., a.)","- sense ""dragonscale"" does not refer to individual dragon scales, but instead the entire outer skin layer of a dragon",
sæxēlsi (1),n,"- (i.) germ, pathogen
- (mag.) fertilized egg
- (mun.) seed; grain; small nut
- (a.) precursor, trigger","(i., mag., mun., a.)","- sense ""fertilized egg"" is never used for eggs of dragons or other Exalted creatures",
sæχ-,pp,"against, versus; opposed to; opposite",,,
sáħ (1),n,"- (r.) merfolk
- (animates) swimmer; any aquatic lifeform
- (mun.) oar, paddle
- (a.) merfolkkind, merfolk as a group; a swim, swimming; the ability to swim","(e., r., mon.,  i., mun., a.)",,
sáħû,v,to swim,"sáħúd, særáħû, særáħúd",,
sal,v,"to request, to ask politely; to want","salod, N/A, N/A",,
saqmeχ (3),n,bronze; brass,(inanimates),,
saχ,con,but,,,
saχ (3),n,copper,(inanimates),,
saχ-,pp,alternative form of sæχ,,,
sē'ad (4),n,"- (mag.) color
- (mun.) decoration
- (a.) description; detail, facet, aspect; adjective, adverb",(inanimates),,
selleŋah (1),adj,"additional, extra; various, miscellaneous",sēlleŋah,,
selleŋaχ (1),n,"- (animates) addict
- (mag.) infatuation, obsession, especially magical
- (a.) addiction","(e., r., mon., i., mag., a.)",,
seŋ,v,"to desire, yearn for; to be attracted to, inclined to","seŋad, selleŋ, selleŋad",,
seŋ (3),n,"desire, yearning",(a.),,
seŋaχ (1),n,"- (animates) romantic partner, boyfriend or girlfriend
- (a.) relationship","(e., r., mon., i., a.)",,
seq̇ (4),adj,"generous, giving, charitable; colorful, vibrant",sēq̇,,
seq̇ (4),n,"- (animates) term of endearment
- (mag, mun.) gift, present
- (a.) giving, donation, charity",(all),,
seχħû,v,"to try, to attempt","seχħûd, sēχħû, sēχħûd",,
sēχħú (4),n,"- (animates) experimentalist; scientist
- (mag., mun.) experimental appratus; scientific equipment
- (a.) try, attempt; experiment; science",(all),,
si,con,and,,"- often reduced to ""sy""  in casual speech",
sī-,pp,after (in time),,,
sīl,con,after (in time); since,,,
sīl (3),n,"- (mag.) (definite) the Dragon Plane
- (mun.) den, housing
- (a.) home",(inanimates),,
sil-,pp,"after (in space), past",,,
silli,adv,"later, later",sīlli,,
sin'æ (2),adj,"flimsy, structurally weak; timid",sīn'æ,,
sin'ær (2),n,"flimsiness, strucural weakness; timidity",(a.),,
siŋæ (2),n,auxiliary verb,(a.),,
siŋy (2),adj,"broken, malfunctional; lame; defective",sīŋy,,
siru (3),adj,"white, bright yellow; glowing, alight, illuminated",sēru,,
soq,v,"to describe, to define; to mean; to color","sōd, sosoq, sosōd",,
soq (3),n,"definition, meaning, denotation",(a.),,
soqaχ (4),n,"- (mun.) sketch; rough draft; prototype
- (a.) concept, plan; determiner","(mun., a.)",,
sōqaχ (4),n,"- (animate) artist
- (mag., mun.) art
- (a.) artistry, art",(all),,
soχ (3),adj,"defined, meaningful, important, significant",(a.),,
sylcēl (3),adj,"numerous, copious; plural; quantitative; powerful (of a spell)",selcēl,,
